session,year,country,sentence
55,2000,LBR,"In my intervention last year, I renewed my Government's request for the Security Council to lift the arms embargo imposed on Liberia eight years ago in 1992."
10,1955,ZAF,"All who listened to the debate on the meaning and purpose of Article 2, paragraph 7, of the Charter, during the initial stages of our present session, must agree that those who argued for the right of intervention were fairly consistent in one thing, and that was in ignoring the clearly expressed intention of the authors of the Charter."
22,1967,ROU,"The situation in the Middle East involves many problems which have been awaiting solution for a long time, many of them being fostered and aggravated by the intervention of foreign imperialist interests—the only ones with anything to gain from war."
26,1971,ITA,"But though our Organization seems to lack the effective power and though its role with respect to problems affecting international peace and security very often exceeds its possibilities of intervention, it nevertheless still is the place where human conscience can be expressed."
40,1985,COG,I shall borrow the final words of my intervention from the admirable recommendation made by the former Presidents of the General Assembly at their meeting held under the auspices of the United Nations Institute for Training and Research (UNITAR) last June.
19,1964,COG,"The Congolese delegation opposes the tendency of some great Powers, whichever they may be, to use their influence to create areas of tension in the world, secure the intervention of United Nations forces in those areas, install themselves there as neocolonialists and apply policies there which conform to their own selfish interests."
22,1967,POL,"It was American aggression that paralysed the activities of the International Commission on Supervision and Control, established to supervise the implementation of the Geneva Agreements following the withdrawal of French colonial troops from Indochina, Today the Commission is not able to deal with the armed intervention of the United States forces in Viet-Nam."
38,1983,BHR,"We appeal once again to the two warring parties to settle their differences by peaceful means and restore normal relations between them, on the basis of mutual respect, good neighbourliness and non-intervention in their domestic affairs."
49,1994,URY,Our country has invariably opposed any kind of military intervention lacking the necessary legal support.
12,1957,MEX,"Nevertheless, all of them as the direct or the indirect result of United Nations intervention, were satisfactorily solved and have disappeared from the map of world problems."
20,1965,GTM,"We regret that local wars are destroying world peace and that communism, using international subversion, which is a new form of intervention, is attacking peaceful and democratic nations,, disrupting their development."
35,1980,BRA,"Its institutional foundations lie in universal obedience to the principles of the Charter, such as equal sovereignty among States, self-determination, non-intervention and the peaceful settlement of disputes."
54,1999,PLW,"Palau also expresses its appreciation and support for the efforts of the Security Council in promoting peace, security and the protection of human rights and democracy throughout the world, and especially in troubled areas in need of United Nations intervention."
5,1950,POL,"A similar attempt to alter the course of history is the armed intervention in Korea, which is being carried out illegally under the banner of the United Nations."
33,1978,OMN,"At successive General Assembly sessions, and elsewhere in other international forums, the Sultanate of Oman, a country with a long coastline on the Indian Ocean, has, like other countries, firmly supported and called for the declaration of the Indian Ocean as a zone of peace, free of nuclear and strategic weapons, to ensure that that area remains outside the sphere of conflicts among the superpowers, thus ensuring for the countries and peoples of the region stability, peace and security and freedom from foreign intervention and foreign threats."
29,1974,COD,Zaire pronounces itself in favor of the territorial integrity of the Republic of Cyprus and against all foreign intervention.
6,1951,PRY,"In the light of the flagrant case of the aggression against the Korean Republic and the subsequent intervention of the Peiping Government in the conflict, it is clearly necessary first, by legal and technical means, to use the collective security machinery provided for in the Charter, and secondly, by practical measures, to organize a better defence of a world that seeks to live in peace and to banish the danger of new aggressions."
39,1984,BFA,"Just as we condemned the foreign aggression against the island of Grenada, so we condemn all foreign intervention."
28,1973,ALB,"The achievement of the legitimate aspirations of the Korean people and the interests of peace and stability in the Far East demand that as soon as possible a remedy should be found for this intolerable situation, and that the United States should withdraw its troops and its bases from South Korea and cease all military engagements in that country, that the illegal United Nations Commission for the Reunification and Rehabilitation of Korea should be dissolved immediately, and that any intervention by the United Nations in the domestic affairs of the Korean people should cease."
16,1961,LBR,"On balance, however, the United Nations intervention did make a significant and valuable contribution to the solution of the problem in the Congo."
23,1968,HND,"He likewise warns us that, unless the principle of non-intervention in the self-determination of nations is re-established, the prospects for international peace and security will remain dim."
32,1977,BEL,Recent painful events in the Horn of Africa underline the importance of this principle of non-intervention.
40,1985,CHL,The realization of the objectives confirmed by the Charter must be effected with complete respect for the principles of the sovereign equality of States and non-intervention in their internal affairs.
23,1968,BEL,"That is why the principle of non-intervention in the domestic affairs of other States, of non-interference, of unwarranted intervention, must in face of the facts be respected with special strictness by those who have asked the rest of the world to sanction their power and to repose special confidence in them."
54,1999,GAB,"On that occasion, President Bongo proposed the creation of an African agency for emergency humanitarian intervention."
35,1980,VNM,"We demand that the United States renounce its attempts to annex the Micronesian islands, withdraw its troops from South Korea and end its collusion with the expansionists who wish to perpetuate the division of Korea, and desist from its policy of aggression, intervention and subversion against the peoples of Afghanistan, Iran and the countries of the Indian subcontinent."
40,1985,COD,"The massive supply of such weapons to States that base their philosophy on expansionism, domination and intervention in the internal affairs of other States increases the danger of confrontation between States and prompts such over-armed States to launch attacks and commit acts of aggression against other states less well-armed and therefore more vulnerable."
72,2017,SSD,"As a Government, we will redouble our efforts to ensure access and improve the enabling environment for humanitarian intervention."
46,1991,ITA,"This type of intervention has become an idea-force, and the most truly innovative concept of the remaining decade of this century."
34,1979,BEN,"And, as our great comrade-in-arms, President Mathieu Kerekou, said at the Conference: ""The mobilization of international opinion against mercenaries, intervention and imperialist aggression is the only way to ensure that a latter-day gunboat policy will not be institutionalized and enforced in an atmosphere of general and unpardonable indifference."
